id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
123,2,3,1,2,0.4,0.004257785,true,9.563504996485043e-10,0.03999996993074257,0.03999999739773249,[0.0; 0.0; 0.0; -0.04327876062374132; -0.04367621666236351; 0.19031378556724465]
124,2,3,1,2,0.4,0.004657696,true,8.086745554248597e-11,0.039999997330738425,0.03999999975908957,[0.0; 0.0; 0.0; 0.11669892204813469; -0.08828164983432901; -0.13633675914929294]
125,2,3,1,2,0.4,0.004387492,true,3.8630865375382725e-9,0.03999995552664217,0.040000001004807884,[0.0; 0.0; 0.0; 0.052136116514564415; -0.001533304772485035; -0.19307893290375946]
126,2,3,1,2,0.4,0.004402094,true,1.3535007009807967e-9,0.03999996924707919,0.03999999898501741,[0.0; 0.0; 0.0; -0.15876648290355572; 0.10245401205953031; 0.06554677199786856]
127,2,3,1,2,0.4,0.004406541,true,4.149771595587815e-9,0.03999995799231956,0.040000001010928876,[0.0; 0.0; 0.0; -0.09586739302973875; -0.17067602821074834; -0.04097726623245426]
128,2,3,1,2,0.4,0.004779729,true,5.39594881575187e-10,0.03999998223334611,0.039999999221810474,[0.0; 0.0; 0.0; -0.16548012105791626; -0.07404715428828902; 0.08445915270983786]
129,2,3,1,2,0.4,0.005538272,true,6.000265007573035e-11,0.0399999976624823,0.03999999992927358,[0.0; 0.0; 0.0; 0.14771196938773942; -0.03846998217278819; -0.12923325644438774]
130,2,3,1,2,0.4,0.005600409,true,6.491730360085717e-11,0.039999997537955245,0.03999999991084549,[0.0; 0.0; 0.0; 0.14034984630568978; -0.06535321580272706; -0.12661310290096936]
131,2,3,1,2,0.4,0.005420406,true,1.0803898755241248e-9,0.039999974894527515,0.03999999821537366,[0.0; 0.0; 0.0; -0.06877931482211518; 0.09311287362397018; 0.16309322063803552]
132,2,3,1,2,0.4,0.005907091,true,2.2653178306055406e-10,0.03999999184242828,0.03999999956130044,[0.0; 0.0; 0.0; -0.16865570733424406; 0.04870775189377057; 0.09582696535443819]
133,2,3,1,2,0.4,0.005710902,true,1.8482210865330468e-10,0.03999999179926794,0.03999999956982189,[0.0; 0.0; 0.0; -0.16791224365241036; -0.002140488980041018; 0.10863193240728025]
134,2,3,1,2,0.4,0.00617923,true,8.254591757508331e-11,0.03999999691960032,0.03999999973551132,[0.0; 0.0; 0.0; 0.1286917900194048; 0.11235078493324269; -0.10399867454196554]
135,2,3,1,2,0.4,0.005812083,true,4.582546201754745e-10,0.03999999037279064,0.03999999999983958,[0.0; 0.0; 0.0; -0.1483786155104246; 0.05079675591508436; -0.12411074106503811]
136,2,3,1,2,0.4,0.00713462,true,1.3687605135159682e-11,0.03999999742298756,0.03999999976224403,[0.0; 0.0; 0.0; 0.1246623564469272; -0.08304769547896677; 0.13252311934425662]
137,2,3,1,2,0.4,0.005471684,true,9.841287918298858e-12,0.03999999809841549,0.03999999990240441,[0.0; 0.0; 0.0; 0.151778586200227; -0.046230734172490046; 0.12176198088456357]
138,2,3,1,2,0.4,0.005613119,true,9.632473015447072e-11,0.03999999495604781,0.03999999930643203,[0.0; 0.0; 0.0; 0.04671388769056059; 0.1856691640456136; 0.05783402302656047]
139,2,3,1,2,0.4,0.005668327,true,9.071402610772846e-11,0.03999999520362359,0.03999999932559507,[0.0; 0.0; 0.0; 0.05476812957982489; -0.1918614535802107; 0.013770788373080165]
140,2,3,1,2,0.4,0.005453438,true,8.68767915332734e-11,0.0399999971968194,0.03999999972216737,[0.0; 0.0; 0.0; -0.06959956180353924; -0.18035856402660938; -0.05125123782909802]
141,2,3,1,2,0.4,0.005408527,true,4.563815422790016e-11,0.03999999704818505,0.0399999996848235,[0.0; 0.0; 0.0; 0.15034018494850615; -0.09698683624101412; 0.08939453219077598]
142,2,3,1,2,0.4,0.00519073,true,3.9413447242956995e-10,0.03999999026030617,0.039999999827126834,[0.0; 0.0; 0.0; -0.16081271810086784; -0.05519794741315805; -0.10532073062025851]
143,2,3,1,2,0.4,0.005130738,true,7.738257206640081e-10,0.039999986815604474,0.040000000245097804,[0.0; 0.0; 0.0; -0.11429467219763903; 0.04220102658422246; -0.1586058046304485]
144,2,3,1,2,0.4,0.005160251,true,2.2432130404111267e-10,0.03999998880648803,0.03999999982346336,[0.0; 0.0; 0.0; -0.19095929340253953; 0.05941588721303179; -0.002073791187926653]
145,2,3,1,2,0.4,0.005082224,true,1.884807276529734e-10,0.03999999592454944,0.03999999975367378,[0.0; 0.0; 0.0; -0.10742929836854627; 0.16694381585950022; 0.024263309714693582]
146,2,3,1,2,0.4,0.005024034,true,1.0577108746877717e-10,0.03999999672766396,0.03999999961037666,[0.0; 0.0; 0.0; -0.016537359031971934; 0.181623449562691; -0.08209408215697585]
