id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1033,2,2,1,2,0.4,0.002674726,true,1.4747515373788104e-10,0.03999999822238931,0.03999999991389922,[0.0; 0.0; 0.2]
1034,2,2,1,2,0.4,0.002697232,true,1.4747515373788104e-10,0.03999999822238909,0.03999999991389922,[0.0; 0.0; 0.2]
1035,2,2,1,2,0.4,0.002944835,true,1.4747515373788104e-10,0.03999999822238917,0.03999999991389922,[0.0; 0.0; 0.2]
1036,2,2,1,2,0.4,0.002666628,true,3.4852610344756674e-9,0.03999998028646223,0.04000000156867128,[0.0; 0.0; -0.2]
1037,2,2,1,2,0.4,0.002564566,true,3.4852610344756674e-9,0.039999980286462476,0.04000000156867128,[0.0; 0.0; -0.2]
1038,2,2,1,2,0.4,0.002653821,true,1.4747515373788104e-10,0.03999999822238931,0.03999999991389922,[0.0; 0.0; 0.2]
1039,2,2,1,2,0.4,0.002707616,true,1.4747515373788104e-10,0.039999998222389276,0.03999999991389922,[0.0; 0.0; 0.2]
1040,2,2,1,2,0.4,0.002654634,true,1.4747515373788104e-10,0.039999998222389165,0.03999999991389922,[0.0; 0.0; 0.2]
1041,2,2,1,2,0.4,0.002439221,true,3.4852610344756674e-9,0.03999998028646199,0.04000000156867128,[0.0; 0.0; -0.2]
1042,2,2,1,2,0.4,0.002509376,true,3.4852610344756674e-9,0.03999998028646219,0.04000000156867128,[0.0; 0.0; -0.2]
1043,2,2,1,2,0.4,0.002550404,true,3.4852610344756674e-9,0.03999998028646214,0.04000000156867128,[0.0; 0.0; -0.2]
1044,2,2,1,2,0.4,0.002499651,true,3.4852610344756674e-9,0.03999998028646221,0.04000000156867128,[0.0; 0.0; -0.2]
1045,2,2,1,2,0.4,0.002635344,true,1.4747515373788104e-10,0.03999999822238943,0.03999999991389922,[0.0; 0.0; 0.2]
1046,2,2,1,2,0.4,0.002637862,true,1.4747515373788104e-10,0.039999998222389394,0.03999999991389922,[0.0; 0.0; 0.2]
1047,2,2,1,2,0.4,0.002521873,true,1.4747515373788104e-10,0.03999999822238909,0.03999999991389922,[0.0; 0.0; 0.2]
1048,2,2,1,2,0.4,0.002622296,true,1.4747515373788104e-10,0.039999998222389206,0.03999999991389922,[0.0; 0.0; 0.2]
1049,2,2,1,2,0.4,0.002558061,true,3.4852610344756674e-9,0.03999998028646212,0.04000000156867128,[0.0; 0.0; -0.2]
1050,2,2,1,2,0.4,0.002556804,true,1.4747515373788104e-10,0.039999998222389206,0.03999999991389922,[0.0; 0.0; 0.2]
1051,2,2,1,2,0.4,0.00252556,true,3.4852610344756674e-9,0.03999998028646212,0.04000000156867128,[0.0; 0.0; -0.2]
1052,2,2,1,2,0.4,0.00270355,true,1.4747515373788104e-10,0.039999998222389394,0.03999999991389922,[0.0; 0.0; 0.2]
1053,2,2,1,2,0.4,0.002448931,true,3.4852610344756674e-9,0.03999998028646219,0.04000000156867128,[0.0; 0.0; -0.2]
